;symbol;price;volume;Symbol
0;AAPL;136.76;72317009.0;AAPL
1;ADP;167.28;1536316.0;ADP
2;ADM;53.3;2317334.0;ADM
3;AFL;45.45;4541515.0;AFL
0;AAPL;136.76;72317009.0;AAPL
1;A;123.18;1707529.0;A
2;AAN;19.63;355969.0;AAN
3;ABBV;108.73;6844635.0;ABBV
4;ABC;109.69;1808909.0;ABC
5;ABM;39.43;191625.0;ABM
6;ABR;15.45;970093.0;ABR
7;ABT;124.03;5801015.0;ABT
8;ACC;42.89;451981.0;ACC
9;ACN;253.54;1399487.0;ACN
10;ADC;66.13;285378.0;ADC
11;ADI;148.76;2169328.0;ADI
12;ADM;53.3;2317334.0;ADM
13;ADP;167.28;1536316.0;ADP
14;AEE;74.2;891682.0;AEE
15;AEL;29.79;548687.0;AEL
16;AEM;70.99;1327269.0;AEM
17;AEP;82.19;1584863.0;AEP
18;AES;26.86;4184711.0;AES
19;AFG;100.15;1101186.0;AFG
20;AFL;45.45;4541515.0;AFL
21;AGCO;119.69;569020.0;AGCO
22;AGM;80.03;56710.0;AGM
23;AGO;37.63;315750.0;AGO
24;AIRC;40.44;1254275.0;AIRC
25;AIT;78.85;130554.0;AIT
26;AIZ;134.36;527186.0;AIZ
27;AJG;118.4;747206.0;AJG
28;AL;43.17;338057.0;AL
29;ALB;157.17;4883732.0;ALB
30;ALE;66.09;307938.0;ALE
31;ALG;147.1;28765.0;ALG
32;ALL;106.92;1628651.0;ALL
33;ALLE;113.79;1384806.0;ALLE
34;ALLY;41.64;4309814.0;ALLY
35;ALRS;26.75;14786.0;ALRS
36;ALTA;34.17;43452.0;ALTA
37;AMGN;236.32;2421810.0;AMGN
38;AMNB;29.37;13312.0;AMNB
39;AMP;211.06;440481.0;AMP
40;AMSF;56.93;78654.0;AMSF
41;AMT;232.99;1532424.0;AMT
42;ANDE;25.82;116772.0;ANDE
43;ANTM;290.85;1445680.0;ANTM
44;AON;223.22;2068177.0;AON
45;AOS;60.0;906323.0;AOS
46;APD;253.15;3153432.0;APD
47;APH;129.5;897265.0;APH
48;APOG;36.94;138628.0;APOG
49;AQN;17.53;605088.0;AQN
50;ARE;171.7;601667.0;ARE
51;AROW;31.03;29167.0;AROW
52;ARTNA;39.91;22395.0;ARTNA
53;ASB;19.17;734592.0;ASB
54;ASH;84.97;619072.0;ASH
55;ATLO;23.38;10214.0;ATLO
56;ATO;89.05;667194.0;ATO
57;ATR;140.66;166867.0;ATR
58;ATRI;697.69;4395.0;ATRI
59;ATVI;101.61;17047813.0;ATVI
60;AUB;34.98;160668.0;AUB
61;AUBN;39.65;4049.0;AUBN
62;AVA;38.19;321642.0;AVA
63;AVB;172.22;857430.0;AVB
64;AVGO;466.01;1248935.0;AVGO
65;AVNT;40.97;385083.0;AVNT
66;AVT;37.7;735592.0;AVT
67;AVY;173.09;589999.0;AVY
68;AWK;165.01;410218.0;AWK
69;AWR;81.35;92078.0;AWR
70;AXP;126.28;3053093.0;AXP
71;AXS;49.06;493698.0;AXS
72;BAC;32.37;40816426.0;BAC
73;BAH;82.09;1086297.0;BAH
74;BAM;40.91;2656408.0;BAM
75;BANF;62.31;32694.0;BANF
76;BANR;48.51;118269.0;BANR
77;BBY;114.53;1479789.0;BBY
78;BC;89.65;665626.0;BC
79;BCPC;115.56;76507.0;BCPC
80;BDL;24.354;71.0;BDL
81;BDX;254.68;1486915.0;BDX
82;BEN;25.86;1915393.0;BEN
83;BEP;47.08;540781.0;BEP
84;BF-B;74.56;1405921.0;BF-B
85;BHB;23.49;14895.0;BHB
86;BIP;53.95;265718.0;BIP
87;BK;42.03;3306730.0;BK
88;BKH;61.93;279813.0;BKH
89;BKSC;16.8;7527.0;BKSC
90;BLK;726.33;454409.0;BLK
91;BMI;99.67;106380.0;BMI
92;BMRC;37.06;34052.0;BMRC
93;BMTC;33.58;38403.0;BMTC
94;BMY;60.92;15620786.0;BMY
95;BOKF;80.9;159687.0;BOKF
96;BPOP;61.86;429038.0;BPOP
97;BPY;17.32;3461249.0;BPY
98;BR;144.13;701251.0;BR
99;BRC;48.56;299871.0;BRC
100;BRO;44.77;693625.0;BRO
101;BSRR;23.25;24666.0;BSRR
102;BUSE;21.905;100748.0;BUSE
103;BWFG;20.57;5269.0;BWFG
104;BWXT;56.11;328977.0;BWXT
105;BXS;28.66;327321.0;BXS
106;C;62.58;13203316.0;C
107;CABO;2063.38;14740.0;CABO
108;CAH;54.26;2968000.0;CAH
109;CASS;42.4;110766.0;CASS
110;CASY;194.02;198206.0;CASY
111;CAT;193.0;2148000.0;CAT
112;CATC;75.35;20657.0;CATC
113;CB;162.55;2003674.0;CB
114;CBAN;14.17;11016.0;CBAN
115;CBOE;89.56;1714677.0;CBOE
116;CBSH;71.06;200967.0;CBSH
117;CBT;47.35;265572.0;CBT
118;CBU;68.29;150240.0;CBU
119;CCBG;24.14;30162.0;CCBG
120;CCI;162.26;2077926.0;CCI
121;CCMP;169.21;165400.0;CCMP
122;CCOI;61.05;149592.0;CCOI
123;CDW;150.97;607343.0;CDW
124;CE;127.32;668991.0;CE
125;CFFI;40.6;4445.0;CFFI
126;CFG;39.94;2395742.0;CFG
127;CFR;96.45;385381.0;CFR
128;CGNX;87.02;481872.0;CGNX
129;CHCO;71.47;40567.0;CHCO
130;CHCT;46.57;60514.0;CHCT
131;CHD;82.87;1305689.0;CHD
132;CHDN;219.73;168103.0;CHDN
133;CHE;509.57;69071.0;CHE
134;CHRW;88.84;712947.0;CHRW
135;CINF;86.71;455357.0;CINF
136;CIVB;18.62;63210.0;CIVB
137;CL;79.87;3061836.0;CL
138;CLDB;18.19;677.0;CLDB
139;CLX;191.25;2735188.0;CLX
140;CMA;62.64;932589.0;CMA
141;CMCSA;51.11;10163668.0;CMCSA
142;CME;191.39;1741445.0;CME
143;CMI;229.63;1243117.0;CMI
144;CMS;57.45;1814786.0;CMS
145;CNI;106.11;871557.0;CNI
146;CNO;23.0;694926.0;CNO
147;CNS;67.79;117337.0;CNS
148;CONE;74.67;408912.0;CONE
149;COR;125.48;487722.0;COR
150;CORE;31.9;173342.0;CORE
151;COST;355.17;1966338.0;COST
152;CPF;21.68;120551.0;CPF
153;CPK;104.16;38828.0;CPK
154;CPT;101.8;1307600.0;CPT
155;CRAI;54.4;16699.0;CRAI
156;CSCO;48.08;23618259.0;CSCO
157;CSGS;44.69;187082.0;CSGS
158;CSL;151.94;453168.0;CSL
159;CSWC;19.75;288465.0;CSWC
160;CSX;88.55;3112782.0;CSX
161;CTAS;344.98;419447.0;CTAS
162;CTBI;39.18;51852.0;CTBI
163;CTO;44.74;17340.0;CTO
164;CTRE;23.48;434111.0;CTRE
165;CUBE;35.29;688755.0;CUBE
166;CULP;16.99;49651.0;CULP
167;CVBF;20.17;296967.0;CVBF
168;CVGW;75.42;71965.0;CVGW
169;CVX;89.26;7979142.0;CVX
170;CWT;57.48;135071.0;CWT
171;DCI;61.51;330295.0;DCI
172;DDS;80.93;479869.0;DDS
173;DEI;29.37;1323012.0;DEI
174;DFS;92.84;2318987.0;DFS
175;DG;193.82;3678037.0;DG
176;DGICA;14.08;56675.0;DGICA
177;DGICB;12.65;255.0;DGICB
178;DGX;121.79;1387218.0;DGX
179;DHI;80.02;2868069.0;DHI
180;DHIL;141.51;14634.0;DHIL
181;DHR;235.59;1404863.0;DHR
182;DKL;38.31;48611.0;DKL
183;DKS;75.64;1565409.0;DKS
184;DLB;91.33;327293.0;DLB
185;DLR;145.56;1250367.0;DLR
186;DOV;121.06;539681.0;DOV
187;DOX;75.01;949777.0;DOX
188;DPZ;377.23;488661.0;DPZ
189;DRE;41.38;1145466.0;DRE
190;DTE;121.72;928899.0;DTE
191;DUK;94.74;2028675.0;DUK
192;EBMT;20.74;22302.0;EBMT
193;EBSB;15.91;80500.0;EBSB
194;EBTC;27.12;15392.0;EBTC
195;ECL;212.78;637232.0;ECL
196;ED;71.5;1565370.0;ED
197;EFSC;38.47;83284.0;EFSC
198;EGP;145.75;126790.0;EGP
199;EHC;82.25;642129.0;EHC
200;EIG;31.21;114839.0;EIG
201;EIX;58.65;2027918.0;EIX
202;ELS;62.79;513212.0;ELS
203;EMCF;27.5;10467.0;EMCF
204;EMN;104.5;483278.0;EMN
205;EMR;86.11;3507045.0;EMR
206;ENB;35.17;3437083.0;ENB
207;ENSG;83.82;283160.0;ENSG
208;EPD;21.04;4736367.0;EPD
209;EQIX;754.29;378242.0;EQIX
210;ERIE;257.53;35170.0;ERIE
211;ES;87.8;985911.0;ES
212;ESS;258.1;648829.0;ESS
213;ETN;121.94;1886157.0;ETN
214;ETR;96.63;786855.0;ETR
215;EV;70.7;570154.0;EV
216;EVA;52.1;63092.0;EVA
217;EVBN;31.26;9688.0;EVBN
218;EVR;114.81;484113.0;EVR
219;EVRG;54.89;1446686.0;EVRG
220;EXC;43.68;3978387.0;EXC
221;EXPD;92.91;1053781.0;EXPD
222;EXPO;89.75;287115.0;EXPO
223;EXR;116.62;498769.0;EXR
224;FAF;54.65;474432.0;FAF
225;FAST;47.3;2463932.0;FAST
226;FBHS;88.53;617618.0;FBHS
227;FBIZ;21.97;15623.0;FBIZ
228;FCBC;23.4;61868.0;FCBC
229;FCCO;17.78;15007.0;FCCO
230;FCCY;17.31;13310.0;FCCY
231;FCPT;27.7;353141.0;FCPT
232;FDBC;50.19;1369.0;FDBC
233;FDS;317.97;159037.0;FDS
234;FELE;73.1;87779.0;FELE
235;FFG;56.15;51024.0;FFG
236;FFIN;40.86;396986.0;FFIN
237;FHN;15.15;2460593.0;FHN
238;FIBK;41.28;147831.0;FIBK
239;FISI;25.45;52823.0;FISI
240;FITB;32.095;2892261.0;FITB
241;FIX;58.1;189043.0;FIX
242;FLIC;17.77;57462.0;FLIC
243;FLO;22.39;579618.0;FLO
244;FMAO;24.17;3341.0;FMAO
245;FMBH;34.87;16609.0;FMBH
246;FMBI;17.8;368519.0;FMBI
247;FMNB;14.0;50521.0;FMNB
248;FNCB;7.11;13801.0;FNCB
249;FNF;38.76;1178560.0;FNF
250;FNLC;25.19;7899.0;FNLC
251;FNV;121.06;459796.0;FNV
252;FR;42.4;1391438.0;FR
253;FRAF;28.35;40006.0;FRAF
254;FRC;155.79;476695.0;FRC
255;FRME;40.71;138063.0;FRME
256;FRT;91.26;404886.0;FRT
257;FSBW;58.85;6363.0;FSBW
258;FSFG;61.8;1956.0;FSFG
259;FSV;142.43;24416.0;FSV
260;FUL;55.46;572527.0;FUL
261;FULT;14.27;473849.0;FULT
262;FWRD;76.77;129402.0;FWRD
263;FXNC;17.6;47.0;FXNC
