No,Symbol,Operation
1,APLO,dividends
2,BKUTK,dividends
3,BORT,dividends
4,CCFN,dividends
5,CPKF,dividends
6,CSVI,dividends
7,EXSR,dividends
8,FBVA,dividends
9,FFMR,dividends
10,HLAN,dividends
11,HONT,dividends
12,LYBC,dividends
13,MNAT,dividends
14,MYBF,dividends
15,NIDB,dividends
16,PNBI,dividends
17,PPLL,dividends
18,PSBQ,dividends
19,SOMC,dividends
20,STBI,dividends
21,TRUX,dividends
22,TYBT,dividends
23,TYCB,dividends
24,WDFN,dividends
25,WMPN,dividends
26,WTBFA,dividends
1,ABBV,splits
2,ACC,splits
3,ADC,splits
4,AEE,splits
5,AEL,splits
6,AEM,splits
7,AEP,splits
8,AGO,splits
9,AIRC,splits
10,AIZ,splits
11,AL,splits
12,ALG,splits
13,ALLE,splits
14,ALTA,splits
15,AMP,splits
16,AMSF,splits
17,AMT,splits
18,APLO,splits
19,AQN,splits
20,AVGO,splits
21,AVNT,splits
22,AWK,splits
23,BAH,splits
24,BKUTK,splits
25,BORT,splits
26,BPY,splits
27,BR,splits
28,BWFG,splits
29,CABO,splits
30,CBOE,splits
31,CCFN,splits
32,CCI,splits
33,CCMP,splits
34,CDW,splits
35,CE,splits
36,CFG,splits
37,CHCT,splits
38,CMS,splits
39,CNO,splits
40,CNS,splits
41,CONE,splits
42,CPKF,splits
43,CPT,splits
44,CQP,splits
45,CRAI,splits
46,CSVI,splits
47,CTRE,splits
48,CUBE,splits
49,CVGW,splits
50,DEI,splits
51,DFS,splits
52,DG,splits
53,DKL,splits
54,DLB,splits
55,DLR,splits
56,DOX,splits
57,DPZ,splits
58,EFSC,splits
59,EIG,splits
60,EMCF,splits
61,ESS,splits
62,ETR,splits
63,EVA,splits
64,EVR,splits
65,EXR,splits
66,EXSR,splits
67,FAF,splits
68,FBHS,splits
69,FBVA,splits
70,FCPT,splits
71,FFMR,splits
72,FFNW,splits
73,FIBK,splits
74,FISI,splits
75,FIX,splits
76,FMBM,splits
77,FNV,splits
78,FR,splits
79,FRC,splits
80,FSBW,splits
81,FSFG,splits
82,FSV,splits
83,G,splits
84,GAIN,splits
85,GBX,splits
86,GS,splits
87,HBCP,splits
88,HCKT,splits
89,HESM,splits
90,HFBL,splits
91,HI,splits
92,HII,splits
93,HLAN,splits
94,HLI,splits
95,HONT,splits
96,HTH,splits
97,HURC,splits
98,HY,splits
99,IBTX,splits
100,IIPR,splits
101,ISTR,splits
102,JOUT,splits
103,KALU,splits
104,KNSL,splits
105,KW,splits
106,LAD,splits
107,LAND,splits
108,LAZ,splits
109,LII,splits
110,LMAT,splits
111,LW,splits
112,LYB,splits
113,LYBC,splits
114,MAA,splits
115,MAIN,splits
116,MAN,splits
117,MDLZ,splits
118,MED,splits
119,MGP,splits
120,MKTX,splits
121,MLM,splits
122,MNAT,splits
123,MOFG,splits
124,MORN,splits
125,MPLX,splits
126,MPW,splits
127,MSBI,splits
128,MSCI,splits
129,MWA,splits
130,MYBF,splits
131,NDAQ,splits
132,NEP,splits
133,NHC,splits
134,NHI,splits
135,NIDB,splits
136,NNI,splits
137,NNN,splits
138,NP,splits
139,NPO,splits
140,NSA,splits
141,NUS,splits
142,NWE,splits
143,NXRT,splits
144,NXST,splits
