,date,label,numerator,denominator,Symbol
0,2020-08-31,"August 31, 20",4.0,1.0,AAPL
1,2014-06-09,"June 09, 14",7.0,1.0,AAPL
2,2005-02-28,"February 28, 05",2.0,1.0,AAPL
3,2000-06-21,"June 21, 00",2.0,1.0,AAPL
4,1987-06-16,"June 16, 87",2.0,1.0,AAPL
5,2014-11-03,"November 03, 14",1398.0,1000.0,A
6,2010-04-16,"April 16, 10",3.0,2.0,AAN
7,2004-08-17,"August 17, 04",3.0,2.0,AAN
8,2003-08-18,"August 18, 03",3.0,2.0,AAN
9,1996-06-04,"June 04, 96",2.0,1.0,AAN
10,1992-11-03,"November 03, 92",2.0,1.0,AAN
11,1983-06-01,"June 01, 83",3.0,2.0,AAN
12,2009-06-16,"June 16, 09",2.0,1.0,ABC
13,2005-12-29,"December 29, 05",2.0,1.0,ABC
14,1999-03-25,"March 25, 99",2.0,1.0,ABC
15,2002-05-07,"May 07, 02",2.0,1.0,ABM
16,1996-08-06,"August 06, 96",2.0,1.0,ABM
17,1992-07-31,"July 31, 92",2.0,1.0,ABM
18,1989-04-10,"April 10, 89",5.0,4.0,ABM
19,1983-02-04,"February 04, 83",3.0,2.0,ABM
20,2012-08-30,"August 30, 12",10.0,1.0,ABR
21,2013-01-02,"January 02, 13",10000.0,4798.0,ABT
22,2004-05-03,"May 03, 04",10000.0,9356.0,ABT
23,1998-06-01,"June 01, 98",2.0,1.0,ABT
24,1992-06-01,"June 01, 92",2.0,1.0,ABT
25,1990-06-01,"June 01, 90",2.0,1.0,ABT
26,1986-06-02,"June 02, 86",2.0,1.0,ABT
27,1981-06-01,"June 01, 81",2.0,1.0,ABT
28,2011-12-30,"December 30, 11",10.0,1.0,ACN
29,2000-03-16,"March 16, 00",2.0,1.0,ADI
30,1997-01-07,"January 07, 97",4.0,3.0,ADI
31,1996-01-04,"January 04, 96",3.0,2.0,ADI
32,1995-01-05,"January 05, 95",3.0,2.0,ADI
33,1986-04-15,"April 15, 86",4.0,3.0,ADI
34,1985-04-16,"April 16, 85",5.0,4.0,ADI
35,1984-04-17,"April 17, 84",4.0,3.0,ADI
36,1983-04-05,"April 05, 83",3.0,2.0,ADI
37,1982-04-13,"April 13, 82",5.0,4.0,ADI
38,1981-04-07,"April 07, 81",5.0,4.0,ADI
39,1980-04-16,"April 16, 80",5.0,4.0,ADI
40,2001-08-30,"August 30, 01",105.0,100.0,ADM
41,2000-08-24,"August 24, 00",105.0,100.0,ADM
42,1999-08-19,"August 19, 99",105.0,100.0,ADM
43,1998-08-20,"August 20, 98",105.0,100.0,ADM
44,1997-08-14,"August 14, 97",105.0,100.0,ADM
45,1996-08-15,"August 15, 96",105.0,100.0,ADM
46,1995-08-17,"August 17, 95",105.0,100.0,ADM
47,1994-12-06,"December 06, 94",3.0,2.0,ADM
48,1994-08-16,"August 16, 94",105.0,100.0,ADM
49,1993-08-17,"August 17, 93",105.0,100.0,ADM
50,1992-08-11,"August 11, 92",105.0,100.0,ADM
51,1991-08-13,"August 13, 91",105.0,100.0,ADM
52,1990-08-14,"August 14, 90",105.0,100.0,ADM
53,1989-12-05,"December 05, 89",3.0,2.0,ADM
54,1989-08-22,"August 22, 89",105.0,100.0,ADM
55,1988-08-16,"August 16, 88",105.0,100.0,ADM
56,1987-08-11,"August 11, 87",105.0,100.0,ADM
57,1986-08-12,"August 12, 86",105.0,100.0,ADM
58,1986-06-03,"June 03, 86",3.0,2.0,ADM
59,1985-08-13,"August 13, 85",105.0,100.0,ADM
60,1984-08-14,"August 14, 84",105.0,100.0,ADM
61,1983-08-16,"August 16, 83",105.0,100.0,ADM
62,1982-08-17,"August 17, 82",105.0,100.0,ADM
63,1981-08-17,"August 17, 81",105.0,100.0,ADM
64,1981-03-23,"March 23, 81",3.0,2.0,ADM
65,1980-10-27,"October 27, 80",105.0,100.0,ADM
66,2014-10-01,"October 01, 14",1139.0,1000.0,ADP
67,2007-04-02,"April 02, 07",10000.0,9033.0,ADP
68,1999-01-04,"January 04, 99",2.0,1.0,ADP
69,1996-01-02,"January 02, 96",2.0,1.0,ADP
70,1991-05-01,"May 01, 91",2.0,1.0,ADP
71,1986-06-09,"June 09, 86",2.0,1.0,ADP
72,1981-05-22,"May 22, 81",2.0,1.0,ADP
73,2000-06-02,"June 02, 00",2.0,1.0,AES
74,1997-08-29,"August 29, 97",2.0,1.0,AES
75,1994-03-04,"March 04, 94",103.0,100.0,AES
76,1994-02-01,"February 01, 94",3.0,2.0,AES
77,2006-12-18,"December 18, 06",3.0,2.0,AFG
78,1988-03-14,"March 14, 88",2.0,1.0,AFG
79,1982-01-25,"January 25, 82",3.0,2.0,AFG
80,2018-03-19,"March 19, 18",2.0,1.0,AFL
81,2018-03-16,"March 16, 18",1.0,1.0,AFL
82,2001-03-19,"March 19, 01",2.0,1.0,AFL
83,1998-06-09,"June 09, 98",2.0,1.0,AFL
84,1996-03-18,"March 18, 96",3.0,2.0,AFL
85,1993-06-15,"June 15, 93",5.0,4.0,AFL
86,1987-02-03,"February 03, 87",2.0,1.0,AFL
87,1986-03-03,"March 03, 86",4.0,3.0,AFL
88,1985-06-04,"June 04, 85",3.0,2.0,AFL
89,1984-10-22,"October 22, 84",11.0,10.0,AFL
90,1983-12-14,"December 14, 83",6.0,5.0,AFL
91,1996-02-01,"February 01, 96",2.0,1.0,AGCO
92,1994-12-16,"December 16, 94",3.0,2.0,AGCO
93,1999-08-02,"August 02, 99",3.0,1.0,AGM
94,2006-06-16,"June 16, 06",3.0,2.0,AIT
95,2004-12-20,"December 20, 04",3.0,2.0,AIT
96,1997-09-16,"September 16, 97",3.0,2.0,AIT
97,1995-12-05,"December 05, 95",3.0,2.0,AIT
98,1989-06-05,"June 05, 89",3.0,2.0,AIT
99,1988-06-06,"June 06, 88",3.0,2.0,AIT
100,2001-01-19,"January 19, 01",2.0,1.0,AJG
101,2000-03-16,"March 16, 00",2.0,1.0,AJG
102,1986-07-16,"July 16, 86",2.0,1.0,AJG
103,2007-03-02,"March 02, 07",2.0,1.0,ALB
104,2007-03-01,"March 01, 07",1.0,1.0,ALB
105,2004-09-21,"September 21, 04",1.0,3.0,ALE
106,1999-03-03,"March 03, 99",2.0,1.0,ALE
107,1986-07-16,"July 16, 86",2.0,1.0,ALE
108,1998-07-02,"July 02, 98",2.0,1.0,ALL
109,2014-04-10,"April 10, 14",310.0,1.0,ALLY
110,2014-09-15,"September 15, 14",3.0,1.0,ALRS
111,2004-04-12,"April 12, 04",2.0,1.0,ALRS
112,1999-11-22,"November 22, 99",2.0,1.0,AMGN
113,1999-03-01,"March 01, 99",2.0,1.0,AMGN
114,1995-08-16,"August 16, 95",2.0,1.0,AMGN
115,1991-09-11,"September 11, 91",3.0,1.0,AMGN
116,1990-08-13,"August 13, 90",2.0,1.0,AMGN
117,1999-07-16,"July 16, 99",2.0,1.0,AMNB
118,2014-02-20,"February 20, 14",3.0,2.0,ANDE
119,2014-02-19,"February 19, 14",3.0,2.0,ANDE
120,2006-06-29,"June 29, 06",2.0,1.0,ANDE
121,2005-06-01,"June 01, 05",2.0,1.0,ANTM
122,1999-05-18,"May 18, 99",3.0,2.0,AON
123,1997-05-15,"May 15, 97",3.0,2.0,AON
124,1994-05-17,"May 17, 94",3.0,2.0,AON
125,1987-05-27,"May 27, 87",2.0,1.0,AON
126,2016-10-06,"October 06, 16",2.0,1.0,AOS
127,2016-09-19,"September 19, 16",2.0,1.0,AOS
128,2013-05-16,"May 16, 13",2.0,1.0,AOS
129,2010-11-16,"November 16, 10",3.0,2.0,AOS
130,1998-08-18,"August 18, 98",3.0,2.0,AOS
131,1993-08-17,"August 17, 93",2.0,1.0,AOS
132,2016-10-03,"October 03, 16",1081.0,1000.0,APD
133,1998-06-16,"June 16, 98",2.0,1.0,APD
134,1992-03-10,"March 10, 92",2.0,1.0,APD
135,1986-06-06,"June 06, 86",2.0,1.0,APD
136,2014-10-10,"October 10, 14",2.0,1.0,APH
137,2007-04-02,"April 02, 07",2.0,1.0,APH
138,2004-03-30,"March 30, 04",2.0,1.0,APH
139,2000-04-26,"April 26, 00",2.0,1.0,APH
140,1997-02-18,"February 18, 97",2.0,1.0,APOG
141,1986-09-15,"September 15, 86",4.0,3.0,APOG
142,1983-11-21,"November 21, 83",5.0,4.0,APOG
143,1982-11-29,"November 29, 82",5.0,4.0,APOG
144,1981-11-24,"November 24, 81",4.0,3.0,APOG
145,1980-11-25,"November 25, 80",5.0,4.0,APOG
146,1979-10-30,"October 30, 79",5.0,4.0,APOG
147,1978-10-31,"October 31, 78",3.0,2.0,APOG
148,1977-11-03,"November 03, 77",3.0,2.0,APOG
149,2006-04-24,"April 24, 06",1.0,1.0,ARE
150,2002-07-30,"July 30, 02",100.0,1.0,ARE
151,2019-09-16,"September 16, 19",103.0,100.0,AROW
152,2018-09-18,"September 18, 18",103.0,100.0,AROW
153,2017-09-19,"September 19, 17",103.0,100.0,AROW
154,2016-09-19,"September 19, 16",103.0,100.0,AROW
155,2015-09-17,"September 17, 15",102.0,100.0,AROW
156,2014-09-17,"September 17, 14",102.0,100.0,AROW
157,2013-09-17,"September 17, 13",102.0,100.0,AROW
158,2012-09-17,"September 17, 12",102.0,100.0,AROW
159,2011-09-19,"September 19, 11",103.0,100.0,AROW
160,2010-09-17,"September 17, 10",103.0,100.0,AROW
161,2009-09-16,"September 16, 09",103.0,100.0,AROW
162,2007-09-19,"September 19, 07",103.0,100.0,AROW
163,2006-09-20,"September 20, 06",103.0,100.0,AROW
164,2005-09-20,"September 20, 05",103.0,100.0,AROW
165,2004-09-20,"September 20, 04",103.0,100.0,AROW
166,2003-09-30,"September 30, 03",5.0,4.0,AROW
167,2002-10-31,"October 31, 02",105.0,100.0,AROW
168,2001-10-31,"October 31, 01",105.0,100.0,AROW
169,1999-11-01,"November 01, 99",5.0,4.0,AROW
170,1998-07-30,"July 30, 98",11.0,10.0,AROW
171,1997-11-12,"November 12, 97",105.0,100.0,AROW
172,1996-10-09,"October 09, 96",11.0,10.0,AROW
173,1995-10-10,"October 10, 95",1.0,1.0,AROW
174,1994-10-05,"October 05, 94",1.0,1.0,AROW
175,1992-11-09,"November 09, 92",104.0,100.0,AROW
176,1991-08-09,"August 09, 91",102.0,100.0,AROW
177,1989-01-31,"January 31, 89",105.0,100.0,AROW
178,1988-01-27,"January 27, 88",105.0,100.0,AROW
179,1987-09-02,"September 02, 87",2.0,1.0,AROW
180,1986-06-02,"June 02, 86",2.0,1.0,AROW
181,1985-10-02,"October 02, 85",5.0,4.0,AROW
182,1985-05-09,"May 09, 85",105.0,100.0,AROW
183,1983-12-08,"December 08, 83",110.0,100.0,AROW
184,2006-07-03,"July 03, 06",3.0,2.0,ARTNA
185,2003-07-01,"July 01, 03",3.0,2.0,ARTNA
186,2004-05-13,"May 13, 04",3.0,2.0,ASB
187,2002-04-25,"April 25, 02",11.0,10.0,ASB
188,2000-05-30,"May 30, 00",11.0,10.0,ASB
189,1998-06-15,"June 15, 98",5.0,4.0,ASB
190,1997-03-03,"March 03, 97",6.0,5.0,ASB
191,1995-06-16,"June 16, 95",5.0,4.0,ASB
192,1993-08-16,"August 16, 93",11.0,10.0,ASB
193,1990-05-10,"May 10, 90",11.0,10.0,ASB
194,1987-05-12,"May 12, 87",11.0,10.0,ASB
195,1985-09-18,"September 18, 85",2.0,1.0,ASB
196,1984-05-10,"May 10, 84",110.0,100.0,ASB
197,1983-05-06,"May 06, 83",110.0,100.0,ASB
198,1980-05-21,"May 21, 80",110.0,100.0,ASB
199,2017-05-15,"May 15, 17",511.0,250.0,ASH
200,2005-07-01,"July 01, 05",10000.0,8212.0,ASH
201,2000-03-30,"March 30, 00",10000.0,9465.0,ASH
202,1988-07-29,"July 29, 88",2.0,1.0,ASH
203,2005-07-18,"July 18, 05",3.0,1.0,ATLO
204,1994-05-17,"May 17, 94",3.0,2.0,ATO
205,1985-06-13,"June 13, 85",2.0,1.0,ATO
206,2007-05-10,"May 10, 07",2.0,1.0,ATR
207,1998-08-26,"August 26, 98",2.0,1.0,ATR
208,1996-12-03,"December 03, 96",3.0,2.0,ATRI
209,1983-06-06,"June 06, 83",2.0,1.0,ATRI
210,1980-04-28,"April 28, 80",120.0,100.0,ATRI
211,2008-09-08,"September 08, 08",2.0,1.0,ATVI
212,2005-10-25,"October 25, 05",4.0,3.0,ATVI
213,2005-03-23,"March 23, 05",4.0,3.0,ATVI
214,2004-03-16,"March 16, 04",3.0,2.0,ATVI
215,2003-06-09,"June 09, 03",3.0,2.0,ATVI
216,2001-11-21,"November 21, 01",3.0,2.0,ATVI
217,2006-10-16,"October 16, 06",3.0,2.0,AUB
218,1998-06-02,"June 02, 98",2.0,1.0,AUB
219,1998-06-26,"June 26, 98",3.0,1.0,AUBN
220,1993-11-10,"November 10, 93",2.0,1.0,AVA
221,2013-01-07,"January 07, 13",8.0,9.0,AVB
222,2000-09-29,"September 29, 00",2.0,1.0,AVT
223,1983-02-16,"February 16, 83",2.0,1.0,AVT
224,1981-06-01,"June 01, 81",11.0,10.0,AVT
225,1996-12-23,"December 23, 96",2.0,1.0,AVY
226,1987-03-17,"March 17, 87",2.0,1.0,AVY
227,1983-12-29,"December 29, 83",2.0,1.0,AVY
